"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"1100","Debregeasia edulis","temperate","AM",0,"angiosperm","deciduous","10.1016/j.apsoil.2007.06.003"
"1101","Decaspermum fruticosum","tropical","AM",0,"angiosperm","evergreen","10.1007/s005720100117"
"1102","Decaspermum gracilentum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12842"
"1104","Delissea rhytidosperma","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1105","Delonix regia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.12221"
"1106","Dendrobangia boliviana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1109","Dendropanax arboreus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1110","Dendropanax querceti","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1112","Desmopsis bibracteata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1113","Desmopsis microcarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1114","Desmopsis panamensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1116","Dialium guianense","tropical","AM",0,"angiosperm","deciduous","10.1007/s00572-005-0033-6 2006"
"1117","Diapensia lapponica","boreal","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1119","Dichapetalum axillare","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1120","Dichapetalum spruceanum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1122","Dichrostachys cinerea","tropical","AM",1,"angiosperm","deciduous","10.1111/j.1469-8137.1990.tb00474.x"
"1123","Dicksonia squarrosa","temperate","AM",0,"angiosperm","evergreen","10.1111/j.1365-2745.2011.01821.x"
"1124","Dicorynia guianensis","tropical","AM",0,"angiosperm","evergreen","10.1139/b97-080"
"1127","Diervilla lonicera","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1128","Dillenia indica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1130","Dimocarpus longan","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1131","Diospyros artanthifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1132","Diospyros blancoi","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1133","Diospyros capreifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1134","Diospyros carbonaria","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1136","Diospyros cauliflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1137","Diospyros cuneata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
